user_id,loan_amount_inr,existing_debt,annual_income,credit_score
USR_00000,36000,9800,94000,648
USR_00001,19000,1277,127000,649
USR_00002,42000,3731,100000,547
USR_00003,101000,24462,177000,611
USR_00004,17000,2359,424000,693
USR_00005,17000,9813,87000,661
USR_00006,106000,6021,362000,681
USR_00007,47000,31724,87000,637
USR_00008,13000,1387,82000,596
USR_00009,37000,14302,313000,658
USR_00010,13000,8787,340000,654
USR_00011,13000,1583,321000,721
USR_00012,28000,9436,56000,617
USR_00013,3000,430,112000,653
USR_00014,3000,921,314000,639
USR_00015,12000,4562,168000,809
USR_00016,7000,2471,68000,597
USR_00017,30000,839,234000,623
USR_00018,8000,842,91000,582
USR_00019,5000,210,683000,741
USR_00020,95000,19862,560000,746
USR_00021,17000,11743,263000,634
USR_00022,23000,13832,483000,732
USR_00023,5000,1068,171000,672
USR_00024,12000,1108,300000,699
USR_00025,24000,16505,530000,580
USR_00026,6000,3957,198000,661
USR_00027,32000,5009,132000,781
USR_00028,12000,1133,41000,753
USR_00029,16000,3290,152000,706
USR_00030,12000,664,314000,716
USR_00031,140000,23650,346000,820
USR_00032,21000,612,243000,705
USR_00033,7000,868,105000,603
USR_00034,50000,8493,33000,734
USR_00035,6000,3003,109000,644
USR_00036,27000,6954,127000,684
USR_00037,3000,533,126000,658
USR_00038,5000,770,266000,600
USR_00039,26000,16961,796000,671
USR_00040,46000,4459,179000,717
USR_00041,26000,381,136000,701
USR_00042,19000,8759,132000,683
USR_00043,16000,3116,179000,635
USR_00044,5000,719,83000,533
USR_00045,10000,1278,179000,646
USR_00046,13000,3503,233000,688
USR_00047,63000,27240,192000,498
USR_00048,31000,13066,234000,645
USR_00049,3000,1013,230000,643
USR_00050,30000,14839,39000,585
USR_00051,14000,1327,270000,703
USR_00052,11000,117,95000,716
USR_00053,40000,21632,67000,776
USR_00054,61000,10516,67000,648
USR_00055,55000,26647,230000,740
USR_00056,9000,417,136000,592
USR_00057,16000,4290,42000,624
USR_00058,30000,3715,238000,697
USR_00059,58000,14361,51000,604
USR_00060,13000,4586,182000,638
USR_00061,18000,7037,196000,708
USR_00062,7000,1392,330000,649
USR_00063,6000,494,676000,585
USR_00064,49000,9719,54000,608
USR_00065,85000,49253,156000,630
USR_00066,20000,5171,130000,691
USR_00067,60000,1726,230000,627
USR_00068,31000,4964,193000,478
USR_00069,11000,3266,122000,705
USR_00070,31000,16712,114000,695
USR_00071,102000,64467,66000,575
USR_00072,21000,8138,358000,570
USR_00073,105000,14959,235000,744
USR_00074,1000,130,339000,633
USR_00075,50000,11463,126000,702
USR_00076,24000,6056,96000,601
USR_00077,16000,2328,68000,695
USR_00078,24000,818,216000,585
USR_00079,3000,1020,70000,679
USR_00080,17000,2281,714000,674
USR_00081,31000,11301,57000,505
USR_00082,96000,31511,202000,658
USR_00083,13000,6761,570000,599
USR_00084,9000,5885,262000,726
USR_00085,13000,749,187000,666
USR_00086,55000,4571,74000,632
USR_00087,30000,18057,53000,756
USR_00088,12000,5267,301000,516
USR_00089,36000,2861,543000,784
USR_00090,24000,14852,114000,781
USR_00091,58000,2829,65000,622
USR_00092,10000,718,22000,712
USR_00093,15000,3048,74000,683
USR_00094,14000,6239,148000,476
USR_00095,5000,789,584000,642
USR_00096,29000,9440,278000,561
USR_00097,28000,609,207000,555
USR_00098,22000,16087,118000,629
USR_00099,17000,2365,102000,632
USR_00100,5000,1645,501000,735
USR_00101,14000,3923,191000,597
USR_00102,15000,3982,30000,622
USR_00103,9000,613,94000,745
USR_00104,18000,374,81000,637
USR_00105,32000,4267,105000,614
USR_00106,145000,51502,255000,709
USR_00107,26000,4150,149000,687
USR_00108,28000,11923,153000,656
USR_00109,20000,8187,465000,714
USR_00110,3000,116,93000,562
USR_00111,21000,4087,723000,609
USR_00112,23000,7271,95000,789
USR_00113,258000,26156,174000,437
USR_00114,18000,9271,129000,602
USR_00115,29000,5802,179000,567
USR_00116,21000,605,232000,654
USR_00117,6000,2449,230000,692
USR_00118,69000,7684,89000,727
USR_00119,46000,12741,66000,621
USR_00120,48000,20184,1205000,585
USR_00121,8000,4440,110000,548
USR_00122,89000,26614,284000,653
USR_00123,5000,1508,44000,798
USR_00124,39000,10017,130000,608
USR_00125,196000,118969,147000,644
USR_00126,8000,374,237000,659
USR_00127,12000,3235,18000,620
USR_00128,24000,12096,185000,749
USR_00129,13000,4765,64000,734
USR_00130,4000,127,210000,707
USR_00131,23000,3297,71000,717
USR_00132,7000,3143,82000,602
USR_00133,35000,3260,130000,569
USR_00134,8000,5929,70000,602
USR_00135,103000,14207,111000,669
USR_00136,10000,3087,62000,627
USR_00137,15000,8181,37000,689
USR_00138,49000,13816,367000,657
USR_00139,6000,137,57000,556
USR_00140,27000,4880,141000,736
USR_00141,81000,27044,297000,614
USR_00142,4000,109,99000,705
USR_00143,26000,807,84000,590
USR_00144,28000,15150,195000,588
USR_00145,48000,12330,398000,584
USR_00146,6000,337,63000,549
USR_00147,5000,669,144000,551
USR_00148,37000,8562,40000,676
USR_00149,29000,8775,118000,585
USR_00150,28000,2461,167000,674
USR_00151,31000,10433,82000,657
USR_00152,11000,3527,112000,711
USR_00153,27000,5878,52000,578
USR_00154,29000,5477,173000,724
USR_00155,10000,1738,378000,586
USR_00156,142000,39819,67000,458
USR_00157,35000,5214,98000,663
USR_00158,6000,1370,243000,588
USR_00159,42000,6821,429000,754
USR_00160,8000,1414,49000,671
USR_00161,48000,16152,142000,644
USR_00162,70000,27860,204000,664
USR_00163,9000,2143,149000,615
USR_00164,57000,41945,22000,767
USR_00165,33000,7190,243000,611
USR_00166,50000,8234,548000,682
USR_00167,146000,3754,178000,592
USR_00168,17000,2788,71000,650
USR_00169,10000,2947,107000,563
USR_00170,9000,5314,670000,666
USR_00171,9000,2283,337000,654
USR_00172,20000,3161,271000,688
USR_00173,30000,6824,216000,682
USR_00174,29000,18926,95000,652
USR_00175,50000,20733,138000,792
USR_00176,22000,9238,152000,648
USR_00177,94000,18894,252000,652
USR_00178,16000,7973,544000,644
USR_00179,334000,19339,398000,664
USR_00180,41000,21343,52000,629
USR_00181,9000,1272,194000,624
USR_00182,7000,1679,293000,702
USR_00183,35000,5203,267000,646
USR_00184,17000,6206,98000,723
USR_00185,44000,14608,1674000,517
USR_00186,35000,13114,58000,756
USR_00187,20000,1035,68000,712
USR_00188,9000,888,196000,646
USR_00189,4000,1037,885000,644
USR_00190,14000,3151,83000,694
USR_00191,51000,16338,131000,578
USR_00192,27000,1599,385000,652
USR_00193,6000,289,160000,660
USR_00194,26000,6598,124000,506
USR_00195,32000,23952,255000,674
USR_00196,9000,710,202000,555
USR_00197,25000,1002,371000,725
USR_00198,23000,5099,457000,743
USR_00199,7000,3568,208000,755
USR_00200,31000,14624,205000,627
USR_00201,38000,6728,193000,626
USR_00202,65000,26123,240000,511
USR_00203,63000,4746,170000,697
USR_00204,5000,2626,162000,544
USR_00205,8000,1166,423000,548
USR_00206,36000,9555,547000,628
USR_00207,36000,9701,48000,572
USR_00208,36000,10693,164000,582
USR_00209,1037000,88785,93000,653
USR_00210,38000,28884,126000,711
USR_00211,68000,6815,224000,687
USR_00212,57000,30946,278000,663
USR_00213,42000,15500,148000,730
USR_00214,16000,2772,35000,658
USR_00215,47000,2301,75000,613
USR_00216,10000,1696,333000,596
USR_00217,17000,940,18000,688
USR_00218,13000,1936,420000,572
USR_00219,23000,1711,246000,674
USR_00220,222000,9915,466000,620
USR_00221,3000,415,138000,591
USR_00222,43000,24330,31000,590
USR_00223,4000,478,229000,717
USR_00224,13000,1857,451000,589
USR_00225,65000,3093,341000,630
USR_00226,23000,7478,95000,617
USR_00227,7000,1308,174000,724
USR_00228,10000,2470,106000,757
USR_00229,43000,11010,84000,713
USR_00230,10000,1721,349000,623
USR_00231,27000,14156,62000,673
USR_00232,23000,3249,79000,586
USR_00233,11000,4891,67000,664
USR_00234,187000,16464,49000,527
USR_00235,41000,14096,182000,666
USR_00236,2000,52,412000,646
USR_00237,26000,3965,140000,680
USR_00238,11000,3379,48000,649
USR_00239,51000,9421,318000,708
USR_00240,9000,6325,626000,596
USR_00241,19000,5373,97000,702
USR_00242,36000,8462,110000,683
USR_00243,52000,13925,245000,726
USR_00244,6000,1565,595000,730
USR_00245,15000,2256,107000,583
USR_00246,13000,2030,56000,686
USR_00247,11000,4049,269000,568
USR_00248,128000,37371,308000,731
USR_00249,33000,2068,163000,590
USR_00250,6000,1739,104000,623
USR_00251,55000,8297,360000,665
USR_00252,183000,48087,248000,701
USR_00253,61000,12387,88000,675
USR_00254,4000,186,169000,703
USR_00255,13000,4338,55000,650
USR_00256,78000,39199,281000,667
USR_00257,10000,5600,131000,526
USR_00258,34000,3003,114000,721
USR_00259,47000,7335,158000,629
USR_00260,8000,860,168000,619
USR_00261,20000,2566,333000,785
USR_00262,0,0,261000,460
USR_00263,7000,1414,143000,656
USR_00264,17000,8840,299000,493
USR_00265,6000,713,224000,673
USR_00266,112000,52831,115000,601
USR_00267,5000,1540,147000,444
USR_00268,14000,7349,144000,726
USR_00269,25000,6089,243000,559
USR_00270,93000,14478,121000,716
USR_00271,5000,55,119000,581
USR_00272,70000,7422,786000,617
